providerName	opened	reason	disposition	conclusion	amountPayed	insuranceDate
American Empire Insurance Company	05-04-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21063	03-04-2014
American Empire Surplus Lines Insurance Company	06-29-2016	Unfair Claims Practice	Corrective Action	Justified	9079	06-11-2014
American Equity Investment Life Insurance Company	03-03-2017	Unfair Claims Practice	Insufficient Information	No Action Necessary	19083	12-07-2016
American Family Home Insurance Company	01-03-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11071	09-01-2017
Travelers Home and Marine Insurance Company (The)	12-20-2017	Underwriting	Non-Renewal Upheld	Unjustified	11082	23-01-2015
American Family Life Assurance Company of Columbus	01-02-2018	Unfair Claims Practice	Enter Arbitration	Unjustified	11077	06-11-2015
American Fire and Casualty Company	12-27-2017	Unfair Claims Practice	Coverage Granted	Voluntary Reconsider	20065	10-10-2015
American General Life Insurance Company	01-02-2018	Unfair Claims Practice	Claim Settled	Unjustified	11062	11-10-2015
Regent Insurance Company	01-02-2018	Unfair Claims Practice	Claim Settled	Unjustified	11047	01-01-2016
Vermont Mutual Insurance Company	12-27-2017	Unfair Claims Practice	Coverage Granted	Voluntary Reconsider	20063	01-02-2016
Colonial Life & Accident Insurance Company	01-05-2018	Unfair Claims Practice	Corrective Action	Justified	9069	04-04-2016
West Coast Life Insurance Company	03-15-2018	Unfair Claims Practice	Claim Settled	Unjustified	11061	08-08-2016
American Income Life Insurance Company	03-05-2018	Unfair Claims Practice	Corrective Action	Justified	9064	25-10-2017
American Modern Home Insurance Company	07-27-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21074	20-09-2017
American Modern Select Insurance Company	01-28-2015	Premium and Rating	Furnished Information	Furnished Information	21076	15-11-2013
American National Insurance Company	11-29-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21071	02-12-2015
American Pet Insurance Company	03-23-2018	Unfair Claims Practice	Corrective Action	Justified	9062	21-08-2017
American Reliable Insurance Company	03-14-2018	Unfair Claims Practice	Claim Settled	Unjustified	11063	15-06-2016
American Security Insurance Company	03-22-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	30-04-2013
Connecticut Interlocal Risk Management Agency (CIRMA)	03-12-2018	Utilization Review	Insufficient Information	No Action Necessary	19087	12-05-2014
American States Insurance Company	03-21-2018	Premium and Rating	Company Position Upheld	Unjustified	11071	11-01-2016
American Strategic Insurance Corp.	03-15-2018	Unfair Claims Practice	Contract Provision	Unjustified	11067	14-06-2013
American United Life Insurance Company	03-09-2018	Unfair Claims Practice	Contract Provision	Unjustified	11066	04-11-2017
American Zurich Insurance Company	02-14-2018	Marketing-Sales	Corrective Action	Justified	9065	22-06-2017
American-Amicable Life Insurance Company of Texas	03-14-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11087	15-07-2016
Americo Financial Life and Annuity Insurance Company	03-16-2018	Unfair Claims Practice	Claim Settled	Unjustified	11080	05-01-2013
Ameritas Life Insurance Corp.	03-09-2018	Marketing-Sales	Claim Settled	Furnished Information	21052	24-01-2017
Amex Assurance Company	03-09-2018	Unfair Claims Practice	Contract Provision	Unjustified	11050	22-03-2016
AmGUARD Insurance Company	03-20-2018	Unfair Claims Practice	Furnished Information	Furnished Information	21061	01-12-2017
Amica Life Insurance Company	03-16-2018	Unfair Claims Practice	Refer-Judicial-Attorney	Questionable	12066	14-07-2016
AmTrust Insurance Company of Kansas, Inc.	03-14-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11079	14-08-2014
Kemper Independence Insurance Company	03-14-2018	Premium and Rating	Company Position Upheld	Furnished Information	21075	30-03-2013
SAFECO Insurance Company of Illinois	04-02-2018	Underwriting	Record Only	No Action Necessary	19057	04-07-2016
Mapfre Insurance Company	03-16-2018	Marketing-Sales	Pol Restored-Reinstated	Voluntary Reconsider	20062	07-06-2014
Wesco Insurance Company	03-09-2018	Marketing-Sales	Claim Settled	Furnished Information	21046	22-10-2013
Globe Life and Accident Insurance Company	03-08-2018	Utilization Review	Claim Settled	Voluntary Reconsider	20064	11-11-2014
Nationwide Mutual Insurance Company	03-26-2018	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19069	22-12-2016
Cigna Health and Life Insurance Company	03-14-2018	Premium and Rating	Company Position Upheld	Furnished Information	21077	20-04-2013
Pacific Specialty Insurance Company	03-14-2018	Unfair Claims Practice	Furnished Information	Furnished Information	21071	14-01-2018
Integon National Insurance Company	03-26-2018	Unfair Claims Practice	Refer-Judicial-Attorney	Unjustified	11072	10-04-2016
Delta Dental of Connecticut, Inc.	03-12-2018	Utilization Review	Insufficient Information	No Action Necessary	19067	08-09-2017
Oxford Health Plans (CT), Inc	03-21-2018	Unfair Claims Practice	Contract Provision	Unjustified	11062	29-05-2016
Vantis Life Insurance Company	11-07-2014	Unfair Claims Practice	Furnished Information	Furnished Information	21060	16-02-2015
Nationwide Life and Annuity Insurance Company	11-20-2014	Unfair Claims Practice	Contract Provision	Furnished Information	21078	19-12-2013
Mutual of Omaha Insurance Company	12-02-2014	Unfair Claims Practice	Claim Settled	Justified	9055	29-01-2017
Humana Insurance Company	12-04-2014	Unfair Claims Practice	Contract Provision	Furnished Information	21052	23-12-2013
Continental Casualty Company	03-08-2018	Utilization Review	Claim Settled	Voluntary Reconsider	20051	15-07-2016
Bankers Life and Casualty Company	12-08-2014	Unfair Claims Practice	Furnished Information	Furnished Information	21064	08-01-2018
Utica First Insurance Company	12-10-2014	Unfair Claims Practice	Additional Money Received	Justified	9064	08-02-2014
Empire Fire and Marine Insurance Company	12-22-2014	Unfair Claims Practice	Claim Settled	Justified	9067	15-01-2013
Liberty Insurance Underwriters Inc.	12-30-2014	Unfair Claims Practice	Provider Issue	Furnished Information	21064	07-03-2016
NGM Insurance Company	12-30-2014	Unfair Claims Practice	Claim Settled	Justified	9049	20-11-2015
Farm Family Casualty Insurance Company	01-09-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21069	08-02-2015
John Hancock Life & Health Insurance Company	01-12-2015	Unfair Claims Practice	Contract Provision	Unjustified	11072	27-03-2017
National Indemnity Company	01-12-2015	Unfair Claims Practice	Contract Provision	Furnished Information	21054	13-02-2015
Zurich American Insurance Company	01-12-2015	Unfair Claims Practice	Contract Provision	Justified	9061	27-01-2016
Lincoln Life & Annuity Company of New York	10-31-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11080	28-07-2017
Omni Insurance Company	01-15-2015	Unfair Claims Practice	Claim Settled	Furnished Information	21050	26-03-2015
Homesite Insurance Company	01-15-2015	Premium and Rating	Premium Refund	Justified	9055	31-05-2015
Federal Insurance Company	01-21-2015	Premium and Rating	Premium Refund	Justified	9054	24-02-2017
Zurich American Insurance Company of Illinois	01-25-2018	Unfair Claims Practice	Claim Settled	Unjustified	11073	03-02-2013
Selective Insurance Company of America	01-28-2015	Unfair Claims Practice	Contract Provision	Furnished Information	21071	12-12-2015
Hanover Insurance Company (The)	01-28-2015	Premium and Rating	Premium Refund	Justified	9059	14-06-2013
Stillwater Property and Casualty Insurance Company	03-26-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11087	14-03-2017
Hanover American Insurance Company	02-04-2015	Unfair Claims Practice	Provider Issue	Furnished Information	21058	14-11-2013
Starr Indemnity & Liability Company	02-17-2015	Unfair Claims Practice	Claim Paid With Interest	Justified	9074	03-04-2017
Harleysville Preferred Insurance Company	02-18-2015	Marketing-Sales	Company Position Upheld	Unjustified	11078	09-04-2017
ReliaStar Life Insurance Company	02-23-2015	Unfair Claims Practice	Contract Provision	Unjustified	11065	27-09-2015
Travelers Indemnity Company of America (The)	02-23-2015	Utilization Review	Furnished Information	Furnished Information	21080	07-01-2015
Ohio Mutual Insurance Company	03-05-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21060	21-06-2013
QBE Insurance Corporation	03-05-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21056	06-12-2015
Permanent General Assurance Corporation	03-19-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11077	04-02-2013
Metropolitan Casualty Insurance Company	01-12-2018	Premium and Rating	Company Position Upheld	Furnished Information	21072	14-04-2015
State Farm Mutual Automobile Insurance Company	03-18-2015	Utilization Review	Coverage Granted	Furnished Information	21077	11-02-2015
Nautilus Insurance Company	03-25-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21062	14-08-2015
Property and Casualty Insurance Company of Hartford	03-26-2015	Unfair Claims Practice	External Review Info Sent	Furnished Information	21091	22-12-2015
Vanliner Insurance Company	10-31-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11064	12-12-2015
Federal Life Insurance Company	02-20-2018	Premium and Rating	Satisfied	Voluntary Reconsider	20054	12-06-2014
John Hancock Life Insurance Company (USA)	04-07-2015	Marketing-Sales	Premium Refund	Furnished Information	21065	29-12-2014
Independent Order of Foresters	04-08-2015	Unfair Claims Practice	Claim Paid With Interest	Justified	9063	13-02-2014
Nationwide Insurance Company of America	03-23-2018	Unfair Claims Practice	Contract Provision	Unjustified	11072	15-10-2015
LM Insurance Corporation	04-09-2015	Unfair Claims Practice	Contract Provision	Justified	9052	07-07-2015
RiverSource Life Insurance Company	03-19-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	23-12-2016
Guarantee Trust Life Insurance Company	04-16-2015	Unfair Claims Practice	Claim Paid With Interest	Justified	9077	18-09-2016
Chesapeake Life Insurance Company (The)	04-20-2015	Unfair Claims Practice	Contract Provision	Furnished Information	21072	13-05-2015
Foremost Insurance Company Grand Rapids, Michigan	04-28-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21085	18-07-2017
Hartford Casualty Insurance Company	03-07-2018	Marketing-Sales	Corrective Action	Unjustified	11062	02-12-2013
Phoenix Life Insurance Company	03-20-2018	Marketing-Sales	Pol Restored-Reinstated	Furnished Information	21066	26-10-2013
CSAA General Insurance Company	05-14-2015	Unfair Claims Practice	Corrective Action	Justified	9062	30-04-2014
Continental Insurance Company (The)	05-28-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	08-08-2015
SAFECO Insurance Company of America	06-10-2015	Unfair Claims Practice	Furnished Information	Unjustified	11066	19-01-2013
Security National Insurance Company	06-15-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21068	29-08-2014
California Casualty Indemnity Exchange	06-22-2015	Unfair Claims Practice	Claim Settled	Furnished Information	21066	21-12-2013
Arbella Indemnity Insurance Company	06-23-2015	Unfair Claims Practice	Complaint Withdrawn	Furnished Information	21069	24-02-2013
AXIS Insurance Company	06-26-2015	Unfair Claims Practice	Contract Provision	Furnished Information	21055	28-04-2016
BCS Insurance Company	06-29-2015	Utilization Review	External Review Info Sent	Furnished Information	21061	28-07-2015
Athene Annuity and Life Company	07-07-2015	Unfair Claims Practice	Claim Settled	Justified	9053	17-10-2017
Scottsdale Insurance Company	07-08-2015	Unfair Claims Practice	Additional Money Received	Furnished Information	21063	20-01-2017
American Family Life Assurance Company of New York	07-21-2015	Unfair Claims Practice	Claim Paid With Interest	Unjustified	11089	01-08-2013
XL Specialty Insurance Company	07-21-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	27-05-2013
Merrimack Mutual Fire Insurance Company	07-22-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21075	21-01-2015
Arch Insurance Company	07-30-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21058	09-05-2015
Commerce Insurance Company (The)	01-12-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11065	08-11-2015
Harleysville Worcester Insurance Company	08-12-2015	Unfair Claims Practice	Provider Issue	Justified	9064	13-09-2017
Jackson National Life Insurance Company	08-12-2015	Unfair Claims Practice	Contract Provision	Furnished Information	21067	09-03-2015
Great Northern Insurance Company	03-15-2018	Premium and Rating	Furnished Information	Furnished Information	21068	11-06-2016
Sentry Insurance A Mutual Company	08-17-2015	Unfair Claims Practice	Contract Provision	Voluntary Reconsider	20066	31-07-2016
Metropolitan Life Insurance Company	08-19-2015	Unfair Claims Practice	Corrective Action	Justified	9067	17-01-2016
GEICO Casualty Company	08-19-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21058	22-08-2016
Jefferson Insurance Company	03-22-2018	Marketing-Sales	Pol Restored-Reinstated	Furnished Information	21065	10-02-2017
Primerica Life Insurance Company	08-31-2015	Unfair Claims Practice	Policy Not In Force	Furnished Information	21066	13-11-2013
Indemnity Insurance Company of North America	09-02-2015	Unfair Claims Practice	Policy Not In Force	Unjustified	11073	14-09-2017
Bunker Hill Insurance Company	01-25-2018	Unfair Claims Practice	Claim Settled	Unjustified	11057	26-09-2013
Nationwide Property & Casualty Insurance Company	09-08-2015	Utilization Review	Coverage Granted	Furnished Information	21074	07-06-2017
Occidental Fire and Casualty Company of North Carolina	09-16-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21090	10-06-2015
Golden Rule Insurance Company	09-18-2015	Unfair Claims Practice	Corrective Action	Furnished Information	21061	15-02-2014
Unified Life Insurance Company	12-15-2017	Employer Handling	Claim Paid With Interest	Justified	9069	29-06-2013
National Health Insurance Company	09-23-2015	Utilization Review	External Review Info Sent	Justified	9073	08-06-2013
ReliaStar Life Insurance Company of New York	10-14-2015	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20072	18-11-2013
HCC Life Insurance Company	10-20-2015	Unfair Claims Practice	Contract Provision	Furnished Information	21059	27-12-2014
Anthem Life Insurance Company	03-22-2018	Unfair Claims Practice	Company Position Upheld	Furnished Information	21067	09-08-2014
Arbella Protection Insurance Company Inc.	01-09-2018	Unfair Claims Practice	Furnished Information	Voluntary Reconsider	20072	28-07-2015
Arch Specialty Insurance Company	02-23-2018	Unfair Claims Practice	Claim Settled	Furnished Information	21060	06-09-2016
Argonaut Insurance Company	10-28-2015	Unfair Claims Practice	Contract Provision	Furnished Information	21058	09-09-2014
Harleysville Life Insurance Company	11-04-2015	Premium and Rating	Furnished Information	Furnished Information	21066	02-04-2014
Associated Indemnity Corporation	11-04-2015	Unfair Claims Practice	Additional Money Received	Justified	9067	04-05-2016
Atain Specialty Insurance Company	11-16-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21069	05-03-2016
Athene Annuity & Life Assurance Company	12-15-2017	Employer Handling	Claim Paid With Interest	Justified	9078	14-07-2016
Atlantic Casualty Insurance Company	11-19-2015	Unfair Claims Practice	Contract Provision	Justified	9068	12-09-2015
Atlantic Specialty Insurance Company	11-20-2015	Unfair Claims Practice	Contract Provision	Furnished Information	21069	02-05-2015
Automobile Insurance Company of Hartford, Connecticut (The)	11-23-2015	Unfair Claims Practice	Claim Paid With Interest	Justified	9098	19-09-2014
AXA Equitable Life Insurance Company	11-25-2015	Unfair Claims Practice	Claim Settled	Justified	9064	26-08-2017
AXIS Surplus Insurance Company	11-25-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21066	25-09-2017
Bankers Insurance Company	03-14-2018	Premium and Rating	Rate Increase Explained	Furnished Information	21063	09-10-2017
Banner Life Insurance Company	12-01-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21060	13-10-2015
Bay State Insurance Company	12-03-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21058	21-03-2014
Bedivere Insurance Company	12-03-2015	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19055	04-11-2016
Berkshire Hathaway Homestate Insurance Company	12-08-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	19-05-2016
Blue Ridge Indemnity Company	12-09-2015	Unfair Claims Practice	Additional Money Received	Justified	9063	25-03-2015
Boston Mutual Life Insurance Company	12-10-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21067	25-09-2013
Time Insurance Company	12-21-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21058	02-12-2015
Bristol West Insurance Company	12-22-2015	Utilization Review	Claim Paid With Interest	Justified	9069	04-12-2017
C.M. Life Insurance Company	01-05-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21058	21-05-2014
California Insurance Company	01-28-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21064	19-09-2015
Cambridge Mutual Fire Insurance Company	02-09-2016	Unfair Claims Practice	Corrective Action	Furnished Information	21066	05-02-2016
Canal Insurance Company	02-23-2016	Unfair Claims Practice	Contract Provision	Unjustified	11056	20-04-2017
Canopius US Insurance, Inc.	02-23-2016	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20055	17-11-2015
Carolina Casualty Insurance Company	02-25-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	12-03-2016
CastlePoint National  Insurance Company	03-16-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21075	08-06-2013
Central Mutual Insurance Company	03-16-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21068	06-05-2017
Charter Oak Fire Insurance Company (The)	03-20-2018	Unfair Claims Practice	Coverage Extended	Unjustified	11072	27-10-2014
Cherokee Insurance Company	03-21-2016	Marketing-Sales	Corrective Action	Unjustified	11058	20-06-2017
Lincoln National Life Insurance Company (The)	03-21-2016	Unfair Claims Practice	Satisfied	Furnished Information	21069	30-01-2016
Chicago Title Insurance Company	03-29-2016	Marketing-Sales	Contract Provision	Unjustified	11064	23-11-2017
Chubb Indemnity Insurance Company	03-29-2016	Unfair Claims Practice	Coverage Granted	Voluntary Reconsider	20064	12-08-2014
Chubb National Insurance Company	03-21-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	23-03-2015
Garrison Property and Casualty Insurance Company	04-27-2016	Unfair Claims Practice	Contract Provision	Furnished Information	21081	14-02-2013
Guardian Life Insurance Company of America	04-29-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21078	28-03-2016
