PROPRIETARYNAME	DOSAGEFORMNAME	LABELERNAME	SUBSTANCENAME	PHARM_CLASSES	
Humalog	CAPSULE	Eli Lilly and Company	INSULIN LISPRO	"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"	127
Alimta	CAPSULE	Eli Lilly and Company	PEMETREXED DISODIUM HEPTAHYDRATE	"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"	144
CYRAMZA	"CAPSULE, DELAYED RELEASE"	Eli Lilly and Company	RAMUCIRUMAB	"Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"	189
BASAGLAR	TABLET	Eli Lilly and Company	INSULIN GLARGINE	Atypical Antipsychotic [EPC]	79
Portrazza	TABLET	Eli Lilly and Company	NECITUMUMAB	Atypical Antipsychotic [EPC]	75
Glucagon	TABLET	Eli Lilly and Company	INSULIN HUMAN	Atypical Antipsychotic [EPC]	76
Humulin	TABLET	Eli Lilly and Company	TERIPARATIDE	Atypical Antipsychotic [EPC]	74
DAKLINZA	TABLET	Eli Lilly and Company	HALCINONIDE	"Estrogen Agonist/Antagonist [EPC],Selective Estrogen Receptor Modulators [MoA]"	124
HALOG	TABLET	Eli Lilly and Company	TRIAMCINOLONE ACETONIDE	Atypical Antipsychotic [EPC]	83
KENALOG-40	TABLET	Eli Lilly and Company	BELATACEPT	Atypical Antipsychotic [EPC]	75
NULOJIX	"TABLET, ORALLY DISINTEGRATING"	Eli Lilly and Company	DASATINIB	Atypical Antipsychotic [EPC]	94
KENALOG-10	"TABLET, ORALLY DISINTEGRATING"	Eli Lilly and Company	HYDROXYUREA	Atypical Antipsychotic [EPC]	99
SPRYCEL	"TABLET, ORALLY DISINTEGRATING"	Eli Lilly and Company	APIXABAN	Atypical Antipsychotic [EPC]	93
HYDREA	"TABLET, ORALLY DISINTEGRATING"	Eli Lilly and Company	ENTECAVIR	Atypical Antipsychotic [EPC]	93
ELIQUIS	"TABLET, FILM COATED"	Eli Lilly and Company	STAVUDINE	"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]"	128
BARACLUDE	"TABLET, FILM COATED"	Eli Lilly and Company	ABATACEPT	"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]"	130
ZERIT	"TABLET, FILM COATED"	Eli Lilly and Company	AZTREONAM	"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]"	126
ORENCIA	"TABLET, FILM COATED"	Eli Lilly and Company	ELOTUZUMAB	"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]"	129
AZACTAM	TABLET	Eli Lilly and Company	IPILIMUMAB	"Kinase Inhibitor [EPC],Kinase Inhibitors [MoA]"	90
EMPLICITI	TABLET	Eli Lilly and Company	ATAZANAVIR SULFATE	"Kinase Inhibitor [EPC],Kinase Inhibitors [MoA]"	100
YERVOY	"TABLET, FILM COATED"	Eli Lilly and Company	ATAZANAVIR SULFATE; COBICISTAT	"Decreased Platelet Aggregation [PE],P2Y12 Platelet Inhibitor [EPC],P2Y12 Receptor Antagonists [MoA]"	175
REYATAZ	"TABLET, FILM COATED"	Eli Lilly and Company	NIVOLUMAB	"Decreased Platelet Aggregation [PE],P2Y12 Platelet Inhibitor [EPC],P2Y12 Receptor Antagonists [MoA]"	155
EVOTAZ	TABLET	Eli Lilly and Company	PRAVASTATIN SODIUM	"Kinase Inhibitor [EPC],Kinase Inhibitors [MoA]"	97
Valcyte	TABLET	Eli Lilly and Company	SAQUINAVIR MESYLATE	"Kinase Inhibitor [EPC],Kinase Inhibitors [MoA]"	99
Xenical	"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"	Eli Lilly and Company	PEGINTERFERON ALFA-2A	"Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]"	169
CellCept	"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"	Eli Lilly and Company	METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA	"Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]"	189
Pegasys	"INJECTION, SOLUTION"	Eli Lilly and Company	OSELTAMIVIR PHOSPHATE	"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"	118
FUZEON	"INJECTION, SUSPENSION"	Eli Lilly and Company	CAPECITABINE	"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"	110
Mircera	"INJECTION, SUSPENSION"	Eli Lilly and Company	NAPROXEN	"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"	107
Tamiflu	"INJECTION, SOLUTION"	Eli Lilly and Company	GANCICLOVIR SODIUM	"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"	115
Xeloda	"INJECTION, POWDER, FOR SOLUTION"	Eli Lilly and Company	NEISSERIA MENINGITIDIS GROUP B RECOMBINANT LP2086 A05 PROTEIN VARIANT ANTIGEN; NEISSERIA MENINGITIDIS GROUP B RECOMBINANT LP2086 B01 PROTEIN VARIANT ANTIGEN	Atypical Antipsychotic [EPC]	242
Naprosyn	"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"	Eli Lilly and Company	STREPTOCOCCUS PNEUMONIAE TYPE 1 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 3 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 5 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 14 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN	"Folate Analog Metabolic Inhibitor [EPC],Folic Acid Metabolism Inhibitors [MoA]"	1475
PREVNAR 13	"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"	Eli Lilly and Company	ALENDRONATE SODIUM	"Folate Analog Metabolic Inhibitor [EPC],Folic Acid Metabolism Inhibitors [MoA]"	171
FIBERCON	SOLUTION	Eli Lilly and Company	IVERMECTIN	"Vascular Endothelial Growth Factor Receptor 2 Antagonist [EPC],VEGFR2 Inhibitors [MoA]"	133
BELSOMRA	SOLUTION	Eli Lilly and Company	FINASTERIDE	"Vascular Endothelial Growth Factor Receptor 2 Antagonist [EPC],VEGFR2 Inhibitors [MoA]"	134
PRINIVIL	"INJECTION, SOLUTION"	Eli Lilly and Company	SITAGLIPTIN PHOSPHATE; METFORMIN HYDROCHLORIDE	"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"	144
FOSAMAX	"INJECTION, SOLUTION"	Eli Lilly and Company	SITAGLIPTIN PHOSPHATE	"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"	118
STROMECTOL	"INJECTION, SOLUTION"	Eli Lilly and Company	RALTEGRAVIR POTASSIUM	"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"	121
PROPECIA	SOLUTION	Eli Lilly and Company	RIZATRIPTAN BENZOATE	"Epidermal Growth Factor Receptor Antagonist [EPC],HER1 Antagonists [MoA]"	129
PROSCAR	"INJECTION, SOLUTION"	Eli Lilly and Company	ALENDRONATE SODIUM; CHOLECALCIFEROL	"Interleukin-17A Antagonist [EPC],Interleukin-17A Antagonists [MoA]"	148
ZOCOR	"INJECTION, SOLUTION"	Eli Lilly and Company	MONTELUKAST SODIUM	"Parathyroid Hormone [Chemical/Ingredient],Parathyroid Hormone Analog [EPC]"	137
ZOLINZA	"INJECTION, SOLUTION"	Eli Lilly and Company	BEZLOTOXUMAB	"Insulin [Chemical/Ingredient],Insulin [EPC]"	102
HYZAAR	"INJECTION, SUSPENSION"	Eli Lilly and Company	FOSAPREPITANT DIMEGLUMINE	"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"	123
COZAAR	"INJECTION, SUSPENSION"	Eli Lilly and Company	ELBASVIR; GRAZOPREVIR ANHYDROUS	"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"	129
SINGULAIR	"INJECTION, SOLUTION"	Eli Lilly and Company	LETERMOVIR	"Insulin [Chemical/Ingredient],Insulin Analog [EPC]"	109
ZEPATIER	"INJECTION, SOLUTION"	Eli Lilly and Company	CASPOFUNGIN ACETATE	"Insulin [Chemical/Ingredient],Insulin [EPC]"	110
PRIMAXIN	TABLET	"E.R. Squibb & Sons, L.L.C."	CARBIDOPA; LEVODOPA	"Hepatitis C Virus NS5A Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B3 Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA]"	299
TRUSOPT	TABLET	"E.R. Squibb & Sons, L.L.C."	HUMAN PAPILLOMAVIRUS TYPE 6 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 11 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 16 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 18 L1 CAPSID PROTEIN ANTIGEN	"Hepatitis C Virus NS5A Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B3 Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA]"	500
MAXALT-MLT	TABLET	"E.R. Squibb & Sons, L.L.C."	HUMAN ROTAVIRUS A TYPE G1P7(5) STRAIN WI79 LIVE ANTIGEN; HUMAN ROTAVIRUS A TYPE G2P7(5) STRAIN SC2 LIVE ANTIGEN; HUMAN ROTAVIRUS A TYPE G3P7(5) STRAIN WI78 LIVE ANTIGEN; HUMAN ROTAVIRUS A TYPE G4P7(5) STRAIN BRB LIVE ANTIGEN; HUMAN ROTAVIRUS A TYPE G6P1A(8) STRAIN WI79 LIVE ANTIGEN	"Hepatitis C Virus NS5A Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B3 Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA]"	564
CANCIDAS	SOLUTION	"E.R. Squibb & Sons, L.L.C."	HEPATITIS B VIRUS SUBTYPE ADW HBSAG SURFACE PROTEIN ANTIGEN	"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"	168
INVANZ	"INJECTION, SUSPENSION"	"E.R. Squibb & Sons, L.L.C."	HEPATITIS A VIRUS STRAIN CR 326F ANTIGEN (FORMALDEHYDE INACTIVATED)	"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"	187
SINEMET	"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"	"E.R. Squibb & Sons, L.L.C."	HUMAN PAPILLOMAVIRUS TYPE 6 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 11 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 16 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 18 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 31 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 33 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 45 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 52 L1 CAPSID PROTEIN ANTIGEN; HUMAN PAPILLOMAVIRUS TYPE 58 L1 CAPSID PROTEIN ANTIGEN	"T Lymphocyte Costimulation Activity Blockade [PE],Selective T Cell Costimulation Blocker [EPC],CD80-directed Antibody Interactions [MoA],CD86-directed Antibody Interactions [MoA]"	756
GARDASIL	"INJECTION, SUSPENSION"	"E.R. Squibb & Sons, L.L.C."	MEASLES VIRUS STRAIN ENDERS' ATTENUATED EDMONSTON LIVE ANTIGEN; MUMPS VIRUS STRAIN B LEVEL JERYL LYNN LIVE ANTIGEN; RUBELLA VIRUS STRAIN WISTAR RA 27/3 LIVE ANTIGEN; VARICELLA-ZOSTER VIRUS STRAIN OKA/MERCK LIVE ANTIGEN	"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"	340
RotaTeq	TABLET	"E.R. Squibb & Sons, L.L.C."	"INFLIXIMAB, LICENSE HOLDER UNSPECIFIED"	"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]"	168
RECOMBIVAX HB	TABLET	"E.R. Squibb & Sons, L.L.C."	MEASLES VIRUS STRAIN ENDERS' ATTENUATED EDMONSTON LIVE ANTIGEN; MUMPS VIRUS STRAIN B LEVEL JERYL LYNN LIVE ANTIGEN; RUBELLA VIRUS STRAIN WISTAR RA 27/3 LIVE ANTIGEN	"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]"	300
VAQTA	TABLET	"E.R. Squibb & Sons, L.L.C."	STREPTOCOCCUS PNEUMONIAE TYPE 1 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 2 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 3 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 5 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 8 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 9N CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 10A CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 11A CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 12F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 14 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 15B CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 17F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19A CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 20 CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 22F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 33F CAPSULAR POLYSACCHARIDE ANTIGEN	"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]"	1649
GARDASIL 9	CAPSULE	"E.R. Squibb & Sons, L.L.C."	VARICELLA-ZOSTER VIRUS STRAIN OKA/MERCK LIVE ANTIGEN	"Antimetabolite [EPC],Urea [Chemical/Ingredient]"	142
ProQuad	TABLET	"E.R. Squibb & Sons, L.L.C."	HAEMOPHILUS INFLUENZAE TYPE B CAPSULAR POLYSACCHARIDE MENINGOCOCCAL OUTER MEMBRANE PROTEIN CONJUGATE ANTIGEN	"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]"	238
Renflexis	TABLET	"E.R. Squibb & Sons, L.L.C."	ERTUGLIFLOZIN PIDOLATE	"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]"	154
M-M-R II	TABLET	"E.R. Squibb & Sons, L.L.C."	ERTUGLIFLOZIN PIDOLATE; SITAGLIPTIN PHOSPHATE	"Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]"	176
PNEUMOVAX 23	"TABLET, FILM COATED"	"E.R. Squibb & Sons, L.L.C."	ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE	"Factor Xa Inhibitor [EPC],Factor Xa Inhibitors [MoA]"	156
VARIVAX	"TABLET, FILM COATED"	"E.R. Squibb & Sons, L.L.C."	SUGAMMADEX SODIUM	"Factor Xa Inhibitor [EPC],Factor Xa Inhibitors [MoA]"	121
PedvaxHIB	"TABLET, FILM COATED"	"E.R. Squibb & Sons, L.L.C."	CARVEDILOL PHOSPHATE	"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"	237
ZOSTAVAX	"TABLET, FILM COATED"	"E.R. Squibb & Sons, L.L.C."	HYDROCHLOROTHIAZIDE; TRIAMTERENE	"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"	248
STEGLATRO	SOLUTION	"E.R. Squibb & Sons, L.L.C."	CARVEDILOL	"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"	216
STEGLUJAN	"CAPSULE, GELATIN COATED"	"E.R. Squibb & Sons, L.L.C."	NELARABINE	"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"	242
SEGLUROMET	"CAPSULE, GELATIN COATED"	"E.R. Squibb & Sons, L.L.C."	ARGATROBAN	"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"	243
BRIDION	"CAPSULE, GELATIN COATED"	"E.R. Squibb & Sons, L.L.C."	ELTROMBOPAG OLAMINE	"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"	249
ANTIVENIN	"CAPSULE, GELATIN COATED"	"E.R. Squibb & Sons, L.L.C."	ROPINIROLE HYDROCHLORIDE	"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"	256
COREG	"POWDER, FOR SOLUTION"	"E.R. Squibb & Sons, L.L.C."	VINORELBINE TARTRATE	"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"	245
DYAZIDE	"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"	"E.R. Squibb & Sons, L.L.C."	INOTUZUMAB OZOGAMICIN	"Decreased Cytokine Activity [PE],Selective T Cell Costimulation Modulator [EPC],Recombinant Fusion Proteins [Chemical/Ingredient]"	227
ARRANON	"INJECTION, SOLUTION"	"E.R. Squibb & Sons, L.L.C."	CORAL SNAKE (MICRURUS FULVIUS) IMMUNE GLOBULIN ANTIVENIN (EQUINE)	"Decreased Cytokine Activity [PE],Selective T Cell Costimulation Modulator [EPC],Recombinant Fusion Proteins [Chemical/Ingredient]"	246
ARGATROBAN	"INJECTION, SOLUTION"	"E.R. Squibb & Sons, L.L.C."	VENLAFAXINE HYDROCHLORIDE	"Monobactam Antibacterial [EPC],Monobactams [Chemical/Ingredient]"	144
PROMACTA	"INJECTION, SOLUTION"	"E.R. Squibb & Sons, L.L.C."	PANTOPRAZOLE SODIUM	"Monobactam Antibacterial [EPC],Monobactams [Chemical/Ingredient]"	136
REQUIP	"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"	"E.R. Squibb & Sons, L.L.C."	SIROLIMUS	"SLAMF7-directed Immunostimulatory Antibody [EPC],SLAMF7-directed Antibody Interactions [MoA],Antibodies, Monoclonal [Chemical/Ingredient]"	222
vinorelbine tartrate	INJECTION	"E.R. Squibb & Sons, L.L.C."	"ESTROGENS, CONJUGATED; BAZEDOXIFENE ACETATE"	"CTLA-4-directed Blocking Antibody [EPC],CTLA-4-directed Antibody Interactions [MoA],Increased T Lymphocyte Activation [PE]"	220
Besponsa	INJECTION	"E.R. Squibb & Sons, L.L.C."	DESVENLAFAXINE SUCCINATE	"CTLA-4-directed Blocking Antibody [EPC],CTLA-4-directed Antibody Interactions [MoA],Increased T Lymphocyte Activation [PE]"	189
North American Coral Snake Antivenin (Equine)	"INJECTION, POWDER, FOR SOLUTION"	"E.R. Squibb & Sons, L.L.C."	ETHIONAMIDE	"Monobactam Antibacterial [EPC],Monobactams [Chemical/Ingredient]"	177
Effexor	"INJECTION, POWDER, FOR SOLUTION"	"E.R. Squibb & Sons, L.L.C."	GEMTUZUMAB OZOGAMICIN	"Monobactam Antibacterial [EPC],Monobactams [Chemical/Ingredient]"	149
Protonix	"INJECTION, SOLUTION"	"E.R. Squibb & Sons, L.L.C."	TIGECYCLINE	"Decreased Cytokine Activity [PE],Selective T Cell Costimulation Modulator [EPC],Recombinant Fusion Proteins [Chemical/Ingredient]"	193
Rapamune	"INJECTION, SOLUTION"	"E.R. Squibb & Sons, L.L.C."	METHYLPREDNISOLONE SODIUM SUCCINATE	"Decreased Cytokine Activity [PE],Selective T Cell Costimulation Modulator [EPC],Recombinant Fusion Proteins [Chemical/Ingredient]"	217
